date,value
2016-08-06,5022.7
2016-06-14,8985.84
2016-06-01,6666.33
2016-04-25,8244.66
2016-05-29,7706.7
2016-02-22,5453.01
2016-07-21,6079.26
2016-11-09,7602.0
2016-07-02,5573.1
2016-06-23,8385.21
2016-04-11,5740.44
2016-11-07,7677.66
2016-05-10,6549.27
2016-04-06,8241.51
2016-09-07,5217.37
2016-06-08,6075.49
2016-04-15,6256.4
2016-07-30,5388.43
2017-02-02,8634.93
2016-12-06,8530.1
2016-10-27,7057.29
2016-08-28,7970.41
2016-12-22,7003.71
2016-10-24,8990.27
2016-03-31,5891.52
2016-05-13,6525.81
2016-08-08,8093.72
2016-02-22,8658.26
2017-01-12,8859.54
2017-01-02,5459.1
2016-05-18,6485.28
2016-11-04,8938.87
2016-08-19,6828.81
2016-04-09,7277.86
2016-06-15,8665.6
2016-08-25,8724.82
2017-01-17,8479.23
2017-01-16,6119.49
2016-04-20,8709.25
2016-12-03,6316.87
2016-05-20,8870.17
2016-05-27,5520.72
2016-02-16,8391.92
2016-04-05,8882.78
2017-02-01,7706.28
2016-04-18,7479.64
2016-12-05,5951.48
2016-07-25,5407.61
2016-05-04,8742.1
2016-05-01,7862.82
2016-04-10,7296.72
2016-02-21,6437.66
2016-08-17,6747.32
2016-12-30,8204.08
2016-11-18,8851.0
2016-03-29,5494.74
2016-03-10,7661.49
2016-09-04,6718.55
2016-11-29,7464.93
2016-05-25,6022.32
2016-04-18,8939.76
2016-09-12,6542.12
2016-11-16,8356.73
2016-12-29,7346.78
2016-03-22,7174.12
2017-01-10,7068.28
2016-07-10,5538.12
2017-02-01,7285.16
2016-03-28,8753.73
2016-06-04,6854.1
2016-10-12,5845.27
2016-02-21,7862.63
2016-07-03,5824.14
2016-07-21,8858.95
2016-02-07,5556.53
2016-11-09,8503.75
2016-03-31,6735.44
2016-03-02,5806.42
2016-06-15,7329.36
2016-08-05,8428.93
2016-12-06,8966.8
2016-08-15,7614.76
2016-07-22,8365.16
2016-05-22,5663.52
2016-04-30,5743.05
2016-10-22,8391.09
2016-11-18,7576.35
2016-03-23,5001.97
2017-01-31,6743.0
2016-12-19,8256.99
2016-09-03,7902.15
2016-09-09,5287.83
2016-09-08,7152.17
2016-07-05,7791.0
2016-02-22,7283.29
2016-12-22,8782.01
2016-05-07,6104.44
2016-11-08,7786.08
2016-06-15,6931.63
2016-12-23,8055.01
2016-11-24,6965.98
2016-08-24,6441.33
2016-03-25,5694.82
2016-03-08,5672.37
2016-07-24,7319.68
2016-05-01,5374.22
2016-05-17,7185.31
2016-08-10,8621.94
2016-11-06,5888.74
2016-08-12,6741.97
2016-09-16,5178.65
2016-06-23,6100.54
2016-05-06,8179.86
2016-04-20,8006.66
2016-04-24,8710.65
2016-07-07,7676.24
2016-06-16,6835.36
2016-05-20,7705.17
2016-02-16,6974.62
2016-08-26,5397.04
2016-02-23,5272.0
2016-02-05,8735.64
2016-03-07,5350.14
2016-02-18,6118.86
2016-04-24,8064.11
2016-11-16,8627.85
2016-06-19,8611.42
2016-08-08,5508.38
2016-08-11,5458.6
2016-04-15,5872.92
2016-06-27,5176.26
2016-02-14,5987.21
2016-06-12,8114.73
2016-02-25,5498.1
2016-10-06,7288.84
2016-07-06,7325.73
2016-02-15,6561.97
2016-07-26,6534.27
2016-10-13,6460.78
2016-10-23,8198.23
2016-06-14,5611.68
2017-01-01,6462.57
2016-03-07,6152.92
2017-01-10,8648.15
2016-04-05,6974.38
2017-01-09,7483.7
2016-12-15,7837.37
2016-12-22,6418.98
2016-07-04,6198.12
2016-09-23,6164.0
2016-09-29,7327.12
2016-12-26,7729.61
2016-06-20,8740.3
2016-03-01,6598.53
2016-07-01,8200.29
2016-12-03,5459.54
2016-12-13,6403.74
2016-11-27,6428.88
2016-10-01,8693.07
2016-04-30,6506.71
2016-03-07,6492.27
2016-08-09,6136.79
2016-02-25,7091.73
2017-01-23,7702.36
2016-11-20,8429.15
2016-11-16,7725.86
2016-02-17,8712.1
2016-09-24,8364.45
2016-03-28,7650.86
2016-12-31,6971.51
2016-06-10,5664.46
2016-05-24,8622.83
2016-06-30,6869.84
2016-11-01,8325.5
2016-02-27,5853.17
2016-08-17,5943.37
2016-05-31,6213.13
2016-03-24,5692.98
2016-11-17,7295.37
2016-12-21,5052.47
2016-04-15,8070.29
2016-08-09,5402.27
2016-03-11,7171.08
2016-06-22,6746.83
2016-04-18,8101.56
2016-11-11,8658.78
2016-03-06,6292.97
2016-12-15,8588.31
2016-11-09,5122.55
2016-10-14,5424.65
2016-09-22,7230.65
2016-05-26,6228.48
2016-06-28,6820.85
2016-04-14,8754.85
2016-02-25,6441.47
2016-12-19,7369.19
2016-10-08,6945.77
2016-02-28,5082.35
2016-05-29,5558.2
2016-02-08,8240.98
2016-03-04,6475.99
2016-02-17,8273.52
2016-02-10,7075.26
2016-08-15,8026.79
2016-10-03,8573.01
2016-05-15,8186.44
2016-07-19,7550.65
2016-09-30,5427.19
2016-08-07,5647.38
2016-10-11,5414.78
2016-02-11,5086.94
2016-06-23,7802.6
2016-04-15,7860.87
2016-02-06,5062.39
2016-03-28,8745.46
2016-05-18,8012.72
2016-08-20,8915.93
2016-07-18,6297.07
2016-04-18,6689.21
2016-08-07,5854.09
2016-10-10,6014.79
2016-08-02,6367.93
2016-08-01,8263.85
2016-09-20,7897.21
2016-12-15,5585.47
2016-10-03,8998.21
2016-06-12,5571.55
2016-12-20,5852.73
2016-10-15,6578.39
2016-05-16,8698.75
2016-08-18,5855.57
2016-07-29,6208.8
2016-08-28,8674.37
2016-10-14,6642.24
2016-07-05,8692.61
2016-05-16,7449.49
2016-11-05,7635.66
2016-02-11,8261.24
2016-08-06,7466.65
2016-05-09,7324.38
2016-12-01,6339.61
2016-05-20,7766.41
2016-04-14,8237.55
2016-11-17,8302.61
2016-08-21,6994.47
2016-08-04,7050.7
2016-03-03,7459.52
2016-06-12,5484.43
2016-06-05,8319.72
2016-07-15,5711.89
2016-05-30,7055.07
2016-09-24,8713.89
2016-08-16,6905.85
2016-09-20,7064.02
2016-10-09,6585.07
2016-05-28,7688.97
2016-09-24,5071.63
2016-05-23,6141.19
2016-07-18,7316.67
2016-04-23,7337.49
2016-02-16,7024.99
2016-02-23,6885.55
2016-07-17,6990.19
2017-01-31,5037.47
2016-12-22,7472.39
2016-12-16,8281.93
2016-10-13,7008.4
2016-03-07,8543.75
2016-02-12,6129.39
2016-09-28,6434.46
2016-10-11,8444.13
2016-11-03,7979.72
2016-07-25,7327.31
2017-01-25,6507.48
2016-07-28,7319.22
2016-03-02,5408.83
2016-05-06,8406.06
2016-10-07,7129.58
2016-03-14,5998.42
2016-03-24,5941.93
2016-03-18,8091.63
2016-03-21,8094.57
2016-06-15,6998.76
2017-01-04,7672.08
2017-01-24,8136.4
2016-08-18,5215.93
2016-02-28,5963.17
2016-06-23,5304.02
2017-01-31,7342.44
2016-08-03,7921.36
2016-02-16,6447.13
2017-01-29,5424.96
2016-04-14,5967.54
2016-12-15,5177.52
2016-11-24,5220.62
2016-11-02,5664.95
2016-12-29,8375.75
2016-06-23,8079.84
2016-05-22,8206.35
2017-02-01,8393.44
2016-07-18,7012.13
2016-05-23,5271.95
2016-05-12,5667.89
2016-07-25,8943.34
2016-12-04,7383.53
2016-11-01,7094.64
2016-12-06,5882.25
2016-02-24,8000.39
2016-05-15,7863.26
2016-07-28,6360.94
2016-06-05,8608.58
2016-10-24,8431.65
2016-04-14,7803.68
2016-10-17,6627.27
2016-09-28,8835.46
2016-04-12,6648.39
2016-03-10,6988.06
2016-09-09,6024.67
2016-11-24,7078.45
2016-11-22,6718.62
2016-12-21,7056.16
2016-03-09,5711.51
2017-01-02,8489.73
2016-08-27,5240.66
2016-06-13,8917.33
2016-08-21,8127.81
2016-09-06,5418.17
2016-07-11,6797.87
2016-08-04,5406.92
2016-11-06,6738.97
2017-01-31,6121.19
2017-01-15,6845.27
2016-07-04,8521.79
2016-07-18,7130.08
2016-02-19,8022.98
2017-01-04,8354.83
2016-02-10,6406.56
2016-03-31,7437.41
2016-11-19,8306.64
2016-02-23,5284.84
2016-11-24,7541.89
2016-06-06,7879.79
2016-11-08,8068.56
2017-01-21,5251.96
2016-07-14,7796.06
2016-04-16,8291.36
2016-06-20,7994.93
2016-04-24,6583.54
2017-01-09,8162.69
2016-12-13,8222.12
2016-04-08,7711.32
2016-11-03,5162.57
2016-08-20,6415.96
2016-03-26,6082.78
2016-11-18,5313.1
2016-05-26,6136.65
2016-03-02,8646.36
2016-03-31,6495.62
2016-11-27,7570.8
2016-08-27,8523.06
2016-05-24,8548.9
2016-04-16,6984.34
2016-06-18,5591.21
2017-01-31,6494.65
2016-05-07,6539.43
2016-09-26,6279.89
2016-04-08,6770.23
2016-08-20,6465.31
2016-06-01,7323.16
2016-11-23,6338.21
2016-09-27,5184.23
2016-03-28,5955.22
2016-05-26,7444.09
2016-07-19,7351.13
2016-12-23,7375.37
2016-05-23,8232.74
2016-06-20,8050.79
2017-01-13,5602.53
2016-10-09,5855.51
2016-05-04,8582.64
2016-12-03,7708.81
2016-03-12,7299.33
2017-02-01,5541.15
2016-07-05,7049.21
2016-05-14,7410.56
2016-12-13,7752.05
2016-11-24,6904.98
2016-11-02,7193.73
2016-08-23,8587.05
2016-08-15,5980.02
2016-06-29,8638.02
2016-03-03,6338.42
2016-06-02,8235.93
2016-07-26,8300.53
2016-04-15,7015.63
2016-08-02,8396.98
2016-09-06,6801.62
2016-03-07,6346.9
2016-04-06,5311.32
2016-09-25,6595.79
2016-08-26,6940.72
2017-02-01,6361.91
2016-03-14,5026.13
2016-07-15,5606.03
2016-02-20,5079.66
2016-11-30,8574.15
2016-06-14,5125.87
2016-07-31,5912.9
2016-12-02,6433.1
2016-11-26,8204.84
2016-11-21,7967.58
2016-05-03,7197.13
2016-02-14,6979.89
2016-03-03,5114.38
2016-09-07,7677.12
2017-01-02,5378.61
2016-04-18,6879.88
2016-10-13,6759.47
2016-10-04,5788.9
2016-07-27,5688.06
2016-03-12,6020.77
2016-09-08,8232.48
2016-09-03,5840.63
2016-05-11,7164.79
2016-03-13,8920.9
2016-08-29,7984.89
2016-03-04,7764.98
2016-03-24,7746.43
2016-12-30,8553.56
2016-10-13,7858.1
2016-09-09,5606.39
2016-02-18,8227.62
2016-06-21,5844.97
2017-01-27,6717.72
2016-10-06,7053.04
2016-12-22,7662.32
2016-08-28,6317.48
2017-01-23,8027.25
2016-02-16,8622.68
2016-06-16,5847.58
2016-06-26,7536.91
2016-02-20,5688.7
2016-07-01,8178.88
2017-01-27,6471.35
2016-03-10,5578.92
2016-06-05,8483.01
2016-10-10,5150.06
2016-04-06,8667.54
2016-07-26,6800.23
2016-12-21,8612.33
2016-04-05,6389.78
2016-10-03,7744.07
2016-03-16,5993.16
2016-03-11,8143.18
2016-06-27,8224.61
2016-03-08,5796.75
2016-05-01,6324.07
2016-08-23,8037.61
2016-07-06,7536.09
2016-08-20,5898.27
2016-11-10,6627.1
2016-07-18,5550.38
2016-05-18,8919.12
2016-09-15,5584.8
2017-01-31,5334.15
2016-03-15,7216.59
2016-08-31,8625.23
2016-03-21,7190.37
2016-04-07,8994.86
2016-12-18,6213.77
2016-02-18,7093.5
2016-09-11,6506.11
2016-11-10,7234.44
2016-09-22,8322.45
2016-07-24,6206.68
2016-06-05,6738.25
2017-01-17,8144.28
2016-05-06,8492.33
2016-04-05,7157.39
2016-04-27,5809.53
2016-10-16,5760.55
2016-11-04,5645.28
2016-02-08,5123.6
2016-12-21,6760.02
2016-04-29,6500.6
2016-03-27,5533.65
2016-11-30,8977.38
2016-12-17,5088.23
2016-11-30,6082.61
2016-08-27,6674.87
2016-02-09,8057.59
2016-06-13,6505.93
2016-08-12,5795.57
2016-10-04,5428.87
2016-06-01,5610.91
2016-03-19,7342.24
2016-04-08,6226.92
2016-02-11,6958.73
2017-01-20,8202.08
2016-10-19,8256.86
2016-09-05,8936.11
2016-06-12,8330.78
2016-05-06,5883.48
2016-04-17,6115.59
2016-09-25,8710.4
2017-01-29,8913.08
2016-03-29,7692.65
2016-07-28,8520.73
2016-09-03,5615.44
2016-10-23,6044.57
2016-09-26,7116.85
2016-11-04,6850.98
2016-04-24,8608.37
2016-12-27,5605.36
2016-12-21,5985.56
2016-04-30,5815.61
2017-02-01,8729.4
2016-12-02,8414.74
2016-12-26,6683.59
2016-09-06,5144.03
2016-10-17,5089.34
2016-02-17,5863.89
2016-10-16,5795.89
2016-08-29,6082.1
2017-02-01,5393.2
2016-12-31,7781.79
2016-12-08,7007.86
2016-11-11,6779.55
2016-10-02,8630.67
2016-03-27,7767.84
2016-03-04,5439.72
2016-10-01,7690.88
2017-01-29,7186.53
2016-08-26,8483.88
2016-06-07,5054.8
2016-05-09,7558.59
2016-03-27,7325.76
2016-03-28,7957.26
2016-10-28,8528.7
2016-05-07,7088.6
2016-07-20,6123.22
2016-02-05,5413.69
2016-06-30,7565.75
2016-08-22,7773.72
2017-01-17,5892.78
2016-06-30,6357.56
2017-01-15,5826.3
2016-12-26,7439.78
2016-12-02,5315.5
2016-05-11,6648.11
2016-10-06,6375.25
2016-02-27,6036.0
2016-12-20,7139.81
2016-09-13,5591.36
2016-12-23,5346.95
2016-08-16,5948.29
2016-06-01,6057.44
2016-04-24,5027.57
2016-08-28,5152.81
2016-11-22,8165.5
2016-11-11,5267.65
2016-03-27,8952.61
2016-03-13,7231.43
2016-06-09,8930.71
2016-06-02,7592.52
2016-10-04,6748.84
2016-09-07,8591.51
2016-03-29,5725.21
2016-09-24,5953.65
2016-04-27,8523.49
2016-09-17,7444.08
2016-10-24,8183.02
2016-05-07,5929.02
2017-01-17,5566.78
2016-08-23,5260.55
2016-03-20,5898.56
2016-03-25,8875.87
2016-05-25,8559.01
2016-10-12,7131.13
2016-07-30,8178.67
2016-09-04,8755.86
2016-09-26,7583.04
2016-08-15,6392.47
2016-06-10,7688.38
2016-03-20,8065.62
2016-03-28,8202.24
2016-04-25,6429.69
2016-07-22,7234.17
2016-07-30,5144.83
2016-11-24,6843.62
2016-06-08,8460.08
2016-10-25,6682.99
2016-02-27,6079.58
2016-11-26,7712.27
2016-03-12,6268.93
2016-09-06,8226.74
2016-05-20,5716.5
2016-07-15,5304.21
2017-01-01,7292.15
2016-03-15,8614.69
2017-01-09,8079.79
2016-04-05,5315.19
2016-11-27,7958.77
2016-12-05,8486.25
2016-11-05,6393.27
2016-02-29,8276.88
2016-10-12,6360.17
2016-04-12,6970.99
2017-01-31,8925.99
2016-09-20,7446.47
2016-08-13,6436.82
2016-08-11,5633.15
2016-07-30,7547.11
2016-10-30,6029.75
2016-11-26,6451.34
2016-11-14,6964.49
2017-01-04,6271.26
2016-04-06,7624.22
2016-02-23,5937.98
2016-04-04,8642.57
2016-04-03,7009.28
2016-09-19,8682.26
2016-05-24,5063.25
2016-07-26,8746.27
2016-07-26,8882.57
2016-12-15,6400.14
2016-09-27,8812.27
2016-06-08,6981.86
2016-09-25,5247.4
2016-12-23,8603.09
2016-09-22,7284.94
2016-05-25,7833.85
2016-03-09,7314.2
2017-01-20,6050.16
2016-02-22,7328.53
2016-06-05,7424.09
2017-01-25,6040.14
2016-10-13,7875.34
2016-12-04,7960.93
2016-12-05,6277.08
2016-05-12,8995.08
2016-03-19,6418.89
2016-03-23,5731.51
2016-05-15,6946.55
2016-02-22,8988.08
2016-06-13,8501.34
2016-05-16,8248.39
2016-10-30,8207.0
2016-05-21,6919.91
2016-05-27,6749.71
2016-05-22,5959.05
2016-02-18,7843.25
2016-08-26,5218.59
2016-12-01,7115.06
2016-08-13,7412.57
2017-01-03,8533.83
2017-01-11,7504.58
2016-12-31,5199.32
2016-12-01,8363.24
2016-10-10,7241.78
2016-02-11,7616.85
2016-09-23,7320.96
2016-04-29,7635.33
2016-11-07,5587.04
2016-07-02,8235.58
2016-08-06,7424.9
2016-03-13,7197.74
2017-01-30,6819.0
2016-08-04,6491.2
2016-11-14,8318.53
2016-02-28,5583.3
2016-09-04,7501.3
2016-04-04,6931.52
2016-03-28,8712.43
2016-06-29,6706.15
2016-05-31,8676.47
2016-06-29,5689.26
2016-03-18,5911.24
2016-07-08,6693.24
2016-09-28,7520.32
2016-12-14,8224.4
2016-04-13,7310.98
2016-02-11,5993.43
2016-12-12,5740.02
2016-05-28,7884.19
2017-01-20,5315.83
2016-02-05,7907.28
2016-02-27,7193.13
2016-07-20,7937.69
2016-05-09,7878.22
2016-11-03,7227.1
2016-06-28,8654.24
2016-06-10,6913.73
2016-10-30,7200.91
2016-06-08,5053.04
2016-08-16,6870.39
2016-07-14,6975.07
2016-07-27,6167.17
2017-01-01,7757.66
2016-02-29,5156.1
2016-03-20,5068.22
2016-10-07,6032.57
2016-02-13,5735.42
2016-12-25,7014.53
2016-04-23,8934.98
2016-06-20,7605.65
2016-08-12,7992.53
2016-04-11,7783.5
2016-11-02,5847.63
2016-08-16,7962.87
2016-11-14,7336.39
2016-02-09,7420.78
2016-09-15,8912.26
2016-08-06,8484.1
2016-04-14,8026.71
2016-02-25,5578.68
2016-10-08,5438.37
2016-03-04,6737.61
2016-03-22,8506.45
2016-06-11,6075.63
2016-03-07,5883.72
2016-10-29,5013.3
2016-09-27,8245.63
2016-04-14,8146.21
2016-02-09,5697.24
2016-09-30,8659.3
2016-04-06,8746.9
2016-10-30,6694.22
2016-05-14,5331.51
2016-03-27,8245.22
2016-06-07,6867.53
2017-01-24,8679.6
2016-05-09,7842.21
2016-11-30,7136.78
2016-08-26,7704.59
2017-02-01,7661.25
2017-01-06,5672.53
2016-02-04,5318.48
2016-05-18,6542.0
2016-06-23,5135.72
2016-03-31,7746.28
2016-09-21,5329.46
2016-12-30,5124.28
2016-03-01,7085.42
2016-08-09,5958.61
2017-01-14,7287.13
2016-04-23,6463.15
2016-12-07,8302.01
2016-03-19,8443.98
2016-06-26,8968.55
2016-11-21,8135.33
2017-01-21,6304.71
2016-03-11,7010.74
2016-12-23,5844.09
2016-05-07,6200.88
2016-07-25,5489.42
2016-05-17,8341.82
2016-03-10,5926.01
2016-10-05,8646.54
2016-09-18,6219.53
2016-08-31,6240.76
2016-02-27,7981.01
2016-03-04,6779.45
2016-12-09,5255.43
2016-06-09,7608.96
2016-04-30,6766.09
2016-04-18,6809.25
2016-12-06,7568.28
2016-11-07,5727.64
2016-02-06,5664.39
2016-06-10,7701.63
2016-06-17,6015.8
2017-01-12,8667.1
2016-08-22,5505.39
2016-04-10,8170.58
2016-07-10,7738.51
2016-04-03,7927.41
2016-04-07,7654.64
2016-05-31,7226.79
2016-03-27,6666.84
2016-08-14,6015.16
2016-10-09,5772.78
2016-10-28,5712.04
2016-12-20,5055.44
2016-05-19,5313.34
2016-07-13,6947.25
2016-02-06,8982.43
2016-08-30,6985.2
2016-06-16,8359.95
2017-01-13,6329.5
2016-06-29,8309.96
2016-09-25,6290.78
2016-05-29,5794.69
2016-08-21,8991.51
2016-11-12,7240.18
2016-05-27,5602.94
2016-06-30,8205.01
2016-04-10,7722.35
2016-09-29,5335.12
2016-03-11,8447.64
2016-10-12,5583.14
2017-01-12,6034.45
2016-09-18,5912.94
2016-12-04,6125.52
2016-03-03,7175.87
2016-02-19,6811.33
2016-11-29,7834.72
2016-05-23,8135.35
2016-04-22,7533.08
2016-05-05,8181.58
2016-02-23,7969.06
2016-06-11,5080.42
2016-11-07,7283.02
2016-07-28,5660.02
2017-01-10,8175.48
2016-08-25,7541.35
2016-05-14,7319.39
2016-09-26,5511.14
2016-09-15,5086.54
2016-06-03,6660.63
2016-06-24,8948.48
2016-08-17,6705.2
2017-01-22,6013.77
2016-08-21,5401.16
2016-09-05,8170.65
2016-02-26,6673.72
2016-09-24,7789.64
2017-01-06,5699.86
2016-06-20,6892.8
2016-07-16,7019.99
2016-08-05,8657.35
2016-02-12,6810.06
2016-12-09,8735.32
2016-08-22,8522.15
2017-01-22,8836.27
2017-01-14,7878.66
2016-11-18,7646.03
2016-08-16,7540.72
2016-04-14,5633.45
2016-10-15,5421.16
2016-11-13,8343.06
